author,commits,fixes,bugs,sign-off,test,review,report
Bhumika Goyal,514,0,0,514,0,0,0
Tony Lu,512,23,10,8,0,0,0
Thomas Hellstrom,512,12,8,629,6,230,6
Hauke Mehrtens,507,23,11,538,5,2,14
Max Filippov,506,8,5,573,10,13,6
Martin Blumenstingl,506,77,7,523,57,159,2
Tony Luck,505,22,10,1773,70,43,34
Gavin Shan,503,35,14,507,3,70,4
Bruce Allan,503,0,0,539,0,40,5
Lars Ellenberg,497,1,0,1235,0,2,0
Atsushi Nemoto,495,0,0,503,1,10,6
Tobias Klauser,493,13,0,501,0,25,4
Robert Richter,488,9,2,590,25,15,8
David Rientjes,486,21,4,526,18,0,25
Christian Borntraeger,483,35,7,1166,41,209,39
Alexander Graf,483,3,1,988,30,40,13
Jesse Brandeburg,481,5,1,810,4,6,5
Shuah Khan,479,12,5,1115,18,40,12
Finn Thain,476,42,23,503,11,16,3
Roger Quadros,476,32,8,525,6,58,11
Sean Christopherson,472,110,11,474,4,68,6
Filipe Manana,466,117,17,425,10,108,12
Leon Romanovsky,465,137,20,1899,12,373,10
Ajay Singh,463,7,4,463,0,7,0
Rodrigo Vivi,461,38,17,1045,9,771,0
Keith Busch,458,29,4,611,9,304,7
Andrew Vasquez,456,1,0,544,0,2,2
David Hildenbrand,455,32,7,458,0,367,7
Or Gerlitz,454,84,25,1021,2,237,32
Peter Chen,452,13,1,659,16,32,4
Vasanthakumar Thiagarajan,451,6,2,479,1,0,5
Julian Wiedmann,448,61,15,489,1,16,6
Antoine Tenart,447,58,31,463,4,1,1
John Fastabend,447,90,44,470,3,9,6
Jonathan Corbet,440,12,0,2195,0,2,7
Michael Buesch,440,1,0,482,6,8,4
Petr Machata,437,60,35,446,2,177,5
Vitaly Kuznetsov,435,38,11,437,11,62,14
Davidlohr Bueso,435,4,1,449,8,43,5
Jan Kiszka,430,16,3,469,7,24,20
Cong Wang,429,107,17,762,5,27,30
Rajkumar Manoharan,429,10,5,483,1,1,3
Gabor Juhos,428,1,0,454,0,0,2
Scott Wood,426,6,0,983,1,14,11
Huang Rui,426,2,0,449,3,484,1
Robin Murphy,425,51,24,438,33,227,10
Josh Poimboeuf,424,76,56,456,3,119,7
Liu Bo,423,14,1,449,3,190,9
Dave Hansen,420,24,11,458,6,107,29
Chanwoo Choi,420,15,10,824,43,230,5
Jon Hunter,409,34,5,439,63,48,19
Biju Das,409,8,2,409,2,113,4
Evan Quan,404,3,1,406,1,366,1
James Morris,404,0,0,1615,1,192,8
Andrey Smirnov,404,12,2,407,4,5,1
Stefan Wahren,400,64,16,455,109,1,24
John Crispin,400,8,7,695,10,7,2
Jeff Mahoney,399,19,1,406,3,5,8
David Herrmann,397,1,0,413,15,197,10
Cyrill Gorcunov,395,3,1,405,9,35,20
